Źródło,Nazwa,NazwaPL,Cecha,Min. Ręka,Rzucanie,Czas,Zasięg,Opis,As,Para,Para Figur,Dwie Pary,Trójka,Strit,Kolor,Ful,Kareta,Poker,Królewski Poker
Hexarcana,A Glass Darkly,Szkło w ciemności,Spostrzegawczość,Para,2,Działa 1 rundę/H,Zasięg 5 jardów,"Pozwala Kanciarzowi i jego towarzyszom zobaczyć odbicie przeszłych zdarzeń, patrząc w szybę okienną. Wszyscy patrzący w okno w trakcie rzucania Kanta widzą niewyraźne wizje, odzwierciedlające wydarzenia, jakie działy się w przeszłości po drugiej stronie okna. Wizje są bardzo niewyraźne i przypominają cienie (np. rozpoznanie twarzy rzadko jest możliwe). Co więcej, ludzie stojący po drugiej stronie szyby nie widzą ich. Kant przywołuje najbardziej nasycone emocjami wydarzenie (np. morderstwo) w ciągu ostatniego okresu (okres jest tym większy, im wyższa ręka została pociągnięta). Kolejne rzucania Kanta pokazują inne wydarzenia – w kolejności od najbardziej do najmniej dramatycznych.",-,Dzień,Dzień,Tydzień,Miesiąc,Rok,5 lat,10 lat,20 lat,50 lat,100+ lat
Podstawka,Ace in the Hole,As w Rękawie,Wiedza,Dwie Pary,10 minut,1 dzień/kant,Dotyk,"Kanciarz łączy znany sobie Kant z drobnym przedmiotem (zwykle kartą do gry). Właściciel tego przedmiotu może rzucać ten Kant tak, jakby był Kanciarzem. Liczba kości jest równa poziomowi Hexslingin' Kanciarza rzucającego Ace in the Hole. Rodzaj kości jest zależny od rzucającego „oddany” Kant. Kanciarz nie może posługiwać się „oddanym” Kantem, może jednak w dowolnym momencie przerwać efekt.
Przy rzucaniu „oddanego” Kanta backlash pojawia się również przy wyciągnięciu czerwonego Jokera.
Jeśli Kanciarz „odda” Kant którego nie można rzucać na siebie, to „na siebie” oznacza zarówno osobę której oddano Kant, jak i samego Kanciarza",,,,,,,,,,,
Podstawka,Achilles' Heel,Pięta Achillesa,Spostrzegawczość,Dwie Pary,1,Działa natychmiast,Zasięg 1 jard/H,"Daje wizję lub przeczucie dotyczące słabej strony Abominacji – im lepsza ręka, tym bardziej dokładna wizja. Użyte przeciw ludziom lub zwierzętom podaje wszystkie posiadane Zawady cztero- i pięciopunktowe.",,,,,,,,,,,
Podstawka,Air Bubble,Bąbel,Duch,As,1,Trwa 1 min/H,Zasięg 5 jardów/H,"Tworzy bańkę powietrza dookoła głowy Kanciarza lub celu Kanta. Świeże powietrze wewnątrz bańki jest nieustannie odświeżane. Od pociągniętej ręki zależy, w jakim środowisku bańka spełnia swoją rolę:",Dym,Gaz,Pod wodą,,,,,,,,
Shootist,All for One,Wszystkie za Jedną,Spryt,As,1,1 Tchu/rundę,Zasięg 1 jard/H,"Sprawia, że cel Kanta ma wszystkie specjalizacje umiejętności Shootin' (o ile posiada tę umiejętność).",,,,,,,,,,,
Shootist,Ammo Whammy,Za Garść Nabojów,Wiedza,As,1,Trwa 10 min/H,Na siebie,"Tworzy 3 kule, plus 3 za każdą rękę powyżej minimum. Kule istnieją tylko przez czas działania Kanta (chyba że kogoś trafią). Kule pojawiają się w dłoniu Kantującego. Dokładna liczba stworzonych pocisków podana jest w tabeli pod opisami Kantów.",3,6,9,12,15,18,21,24,27,30,33
Metal Mage,Analyse,Analiza,Spostrzegawczość,As,specjalne,Czas działania specjalny,Dotyk,"Po rzuceniu tego Kanta na eliksir, Kanciarz może ustalić jaka jest dokładna formuła jego tworzenia. Jeśli jest Alchemikiem, może od tej pory tworzyć ten eliksir tak, jakby sam go wymyślił. Jeśli nie, może – przez tyle godzin, ile wynosi jej typ kości w Smarts – wyjaśnić komuś, na czym polega formuła (po upływie tego czasu formuła zostaje zapomniana). Słuchający musi wykonać test Smarts (PT 11), by zrozumieć dość chaotyczne wyjaśnienia. Ten test można wykonać tylko raz – później Kanciarz musi raz jeszcze rzucić Analyse, by „spojrzeć na formułę z innej perspektywy”.",,,,,,,,,,,
Shootist,Argent Agony,Srebrzysta Agonia,Wiedza,Para,2,Trwa 10 minut/H,Na siebie,Zamienia 1 kulę (i dodatkowo jedną za każdą rękę powyżej minimum) w kulę zdolną ranić nadnaturalne stworzenia. Efekt trwa przez czas działania Kanta.,-,1,2,3,4,5,6,7,8,9,10
Metal Mage,Barricade,Barykada,Wiedza,Para Figur,2,Działa 1 minutę/H,Zasięg 5 jardów/H,"Tworzy mur złożony z kawałków metalu i innego złomu o szerokości 3 stóp na poziom Kantowania oraz wysokości 3 stóp. Ta barykada zapewnia Zbroję przeciw atakom zasięgowym (Shootin', Throwin'). Po upływie działania Kanta bariera momentalnie rdzewieje, rozpada się i znika.",-,-,(-4),1,2,3,4,5,6,7,8
Podstawka,Bash,Baśka,Duch,Para,2,Działa natychmiast,Zasięg 25 jardów/H,"Z rąk Kanciarza wylatuje wirująca kula energii, która przy trafieniu w cel powoduje uszkodzenia mechaniczne nieożywionych przedmiotów. Rzut za Kantowanie jest jednocześnie rzutem za atak. Nie ma modyfikatorów zasięgu, ale mogą pojawić się modyfikatory za rozmiar celu, strzały mierzone etc. Kula energii porusza się dość wolno, więc wszelkie rzuty za Uniki, Drivin' etc., mające na celu jej uniknięcie, otrzymują modyfikator +3. UWAGA: przy obrażeniach zadawanych maszynom, budynkom etc. nie dzieli się obrażeń przez 10 (tak, jak robi się w przypadku broni palnej małego kalibru).",0 / 1k4 T.,1k6,3k6,4k8,5k8,6k8,7k10,8k10,9k10,10k12,10k20
